"Local", "Esgotamento sanitário adequado"
"Abaiara", 8
"Acarape", 40.1
"Acaraú", 16.5
"Acopiara", 18.1
"Aiuaba", 9.8
"Alcântaras", 20.8
"Altaneira", 12.9
"Alto Santo", 12.9
"Amontada", 9.4
"Antonina do Norte", 37.4
"Apuiarés", 2.3
"Aquiraz", 36.3
"Aracati", 4.5
"Aracoiaba", 18
"Ararendá", 15.6
"Araripe", 14.3
"Aratuba", 18.2
"Arneiroz", 23.2
"Assaré", 20.4
"Aurora", 12.2
"Baixio", 1.5
"Banabuiú", 17.6
"Barbalha", 17.8
"Barreira", 12.9
"Barro", 10.3
"Barroquinha", 20.7
"Baturité", 44.8
"Beberibe", 11.6
"Bela Cruz", 19.4
"Boa Viagem", 38.6
"Brejo Santo", 59.7
"Camocim", 30.2
"Campos Sales", 22.8
"Canindé", 23.2
"Capistrano", 15.6
"Caridade", 10.1
"Cariré", 6.3
"Caririaçu", 16
"Cariús", 12.2
"Carnaubal", 2.3
"Cascavel", 14.5
"Catarina", 17.1
"Catunda", 1.6
"Caucaia", 56.2
"Cedro", 8.7
"Chaval", 7.2
"Choró", 11.3
"Chorozinho", 4.9
"Coreaú", 16.9
"Crateús", 47.9
"Crato", 42.2
"Croatá", 22.7
"Cruz", 6.3
"Deputado Irapuan Pinheiro", 2.1
"Ererê", 19.2
"Eusébio", 32.4
"Farias Brito", 12.1
"Forquilha", 71.9
"Fortaleza", 74
"Fortim", 2.1
"Frecheirinha", 11.5
"General Sampaio", 3.7
"Graça", 5.8
"Granja", 12.3
"Granjeiro", 25.3
"Groaíras", 27
"Guaiúba", 19
"Guaraciaba do Norte", 7.6
"Guaramiranga", 72.7
"Hidrolândia", 6.6
"Horizonte", 13.6
"Ibaretama", 3
"Ibiapina", 17.4
"Ibicuitinga", 15.2
"Icapuí", 14.9
"Icó", 34.8
"Iguatu", 27.4
"Independência", 30.1
"Ipaporanga", 2
"Ipaumirim", 15.1
"Ipu", 7.2
"Ipueiras", 20.5
"Iracema", 21.2
"Irauçuba", 34.4
"Itaiçaba", 3.8
"Itaitinga", 6
"Itapajé", 25.9
"Itapipoca", 32.9
"Itapiúna", 14.7
"Itarema", 12.2
"Itatira", 4.9
"Jaguaretama", 5.9
"Jaguaribara", 58.3
"Jaguaribe", 54
"Jaguaruana", 13.6
"Jardim", 36.5
"Jati", 17.2
"Jijoca de Jericoacoara", 13.6
"Juazeiro do Norte", 47.2
"Jucás", 26.1
"Lavras da Mangabeira", 27.7
"Limoeiro do Norte", 20.9
"Madalena", 10.1
"Maracanaú", 68.8
"Maranguape", 31.8
"Marco", 7.7
"Martinópole", 3.8
"Massapê", 37.7
"Mauriti", 18.1
"Meruoca", 7.9
"Milagres", 12.2
"Milhã", 21.7
"Miraíma", 19.8
"Missão Velha", 9.7
"Mombaça", 27.1
"Monsenhor Tabosa", 5.9
"Morada Nova", 9.1
"Moraújo", 6.4
"Morrinhos", 21.4
"Mucambo", 18
"Mulungu", 28.7
"Nova Olinda", 41.9
"Nova Russas", 20.5
"Novo Oriente", 25.3
"Ocara", 11.6
"Orós", 37.5
"Pacajus", 6.8
"Pacatuba", 78.3
"Pacoti", 46.2
"Pacujá", 43.8
"Palhano", 16
"Palmácia", 14
"Paracuru", 31.4
"Paraipaba", 28
"Parambu", 28.7
"Paramoti", 9.8
"Pedra Branca", 34.6
"Penaforte", 55
"Pentecoste", 27.1
"Pereiro", 12.4
"Pindoretama", 1.4
"Piquet Carneiro", 5
"Pires Ferreira", 6.4
"Poranga", 11.3
"Porteiras", 28.4
"Potengi", 7.8
"Potiretama", 0.9
"Quiterianópolis", 14.3
"Quixadá", 52.7
"Quixelô", 23.1
"Quixeramobim", 43.2
"Quixeré", 2.8
"Redenção", 17.6
"Reriutaba", 5.5
"Russas", 28.4
"Saboeiro", 8.7
"Salitre", 11
"Santana do Acaraú", 33.3
"Santana do Cariri", 20.8
"Santa Quitéria", 22.6
"São Benedito", 26.5
"São Gonçalo do Amarante", 26.3
"São João do Jaguaribe", 23.3
"São Luís do Curu", 4.3
"Senador Pompeu", 35.9
"Senador Sá", 6.8
"Sobral", 75.6
"Solonópole", 12.2
"Tabuleiro do Norte", 24.2
"Tamboril", 11.6
"Tarrafas", 2.2
"Tauá", 32.3
"Tejuçuoca", 2.7
"Tianguá", 39.4
"Trairi", 6
"Tururu", 1.8
"Ubajara", 7.2
"Umari", 13.5
"Umirim", 6.9
"Uruburetama", 18.8
"Uruoca", 23.1
"Varjota", 25.5
"Várzea Alegre", 17.6
"Viçosa do Ceará", 9
